idea_text,feasibility_score,technical,market,financial
AI-powered chatbot for mental health,8.5,9,8,7
Personal flying car for urban transport,2.0,3,2,1
Smart home automation system,7.0,7,7,6
VR platform for remote work collaboration,8.0,8,8,7
Blockchain-based secure voting system,6.5,7,6,6
Personalized nutrition and fitness app,7.5,8,7,7
Online marketplace for local artisans,7.0,7,7,6
Augmented reality travel guide,8.0,8,8,7
Eco-friendly electric scooter sharing,6.5,7,6,6
Automated financial advisory tool,8.5,9,8,8
Smart wearable for continuous health tracking,8.0,8,8,7
Peer-to-peer lending platform for startups,7.0,7,7,7
Crowdsourced urban gardening app,7.5,7,8,7
Remote learning platform with AI tutors,8.0,8,8,7
Subscription service for eco-friendly products,7.0,7,7,6
Freelance gig marketplace for creative professionals,7.5,8,7,7
Mobile payment system for small businesses,8.0,8,8,8
Virtual interior design service,7.0,7,7,6
On-demand tutoring platform for coding,8.0,8,8,7
Decentralized social media platform,6.0,6,6,5
Solar-powered desalination device for coastal regions,7.3,8,7,7
Manual water pump for arid regions,6.7,6,7,7
Recycled plastic road construction material,7.0,7,7,7
Hand-powered agricultural tools for small farms,6.3,6,7,6
Community-based bicycle sharing program,7.7,7,8,8
Low-cost portable water filtration straw,8.0,8,9,7
Modular disaster relief shelters,7.3,7,8,7
Urban vertical gardens using rainwater,7.0,7,7,7
Manual sewing machine for rural tailors,6.7,6,7,7
Wind-up radio for emergency communication,6.3,6,7,6
Biodegradable plant-based disposable utensils,7.0,7,7,7
Pedal-powered electricity generator,6.7,7,7,6
Solar-powered street vendor carts,7.7,8,8,7
Low-tech air quality monitoring stations,6.7,7,7,6
Manual well drilling equipment for villages,6.3,6,7,6
Solar-powered irrigation system for small farms,7.3,7,8,7  
Manual grain mill using traditional methods,6.3,6,7,6  
Recycled tire material for playground surfaces,7.3,7,8,7  
Hand-cranked classroom projectors for remote schools,6.3,6,7,6  
Bamboo-based modular construction materials,7.3,7,8,7  
Community-driven rainwater harvesting systems,7.3,7,8,7  
Non-electric solar food dehydrators,6.3,6,7,6  
Pedal-powered village water pumps,6.7,7,7,6  
Low-cost ceramic water filters for rural areas,7.3,7,8,7  
Manual wheelchair attachments for rough terrain,6.7,7,7,6  
Wind-powered grain grinding mills,6.3,7,6,6  
Reusable menstrual hygiene kits with sterilization,7.3,7,8,7  
Solar-powered lighting for off-grid schools,7.7,8,8,7  
Handmade paper production from agricultural waste,6.3,6,7,6  
Gravity-fed drip irrigation for arid climates,7.0,7,7,7  
Modular compost toilets for disaster relief,7.0,7,7,7  
Portable hand-washing stations for public spaces,7.3,7,8,7  
Low-tech soil moisture sensors for farmers,6.7,7,7,6  
Manual coffee bean roasters for small producers,6.7,6,7,7  
Upcycled plastic jewelry for local artisans,7.0,6,8,7  
Wind-resistant temporary shelters for storms,7.0,7,7,7  
Non-electric neonatal warmers for clinics,7.3,8,7,7  
Solar-heated community bathing facilities,7.0,7,7,7  
Hand-operated seed planters for small farms,6.7,6,7,7  
Low-cost braille textbooks for schools,6.7,7,7,6  
Modular beekeeping kits for urban apiaries,7.3,7,8,7  
Manual coconut dehusking tools for villages,6.3,6,7,6  
Portable hand-sanitizer stations using foot pumps,7.0,7,7,7  
Reusable cloth diaper service for parents,7.3,6,8,8  
Low-tech fog water collectors for deserts,6.7,7,7,6 
IoT-based soil nutrient monitoring system,7.7,8,8,7  
Blockchain-based organic food certification,7.0,7,7,7  
Biodegradable smartphone cases from algae,7.3,7,8,7  
Solar-powered public Wi-Fi hotspots,7.7,8,8,7  
Smart mirrors for retail fitting rooms,7.0,7,7,7  
Portable UV-C sterilizers for medical tools,8.0,9,8,7  
3D-printed coral reefs for marine restoration,6.7,7,7,6  
Wearable posture correctors with haptic feedback,7.3,8,7,7  
Hydrogen-powered bus prototypes,6.3,7,6,6  
Nanotech filters for microplastic removal,7.0,8,7,6  
Vertical algae farms for biofuel production,6.7,7,7,6  
Smart thermostats for low-income housing,7.7,8,8,7  
Edible cutlery made from rice flour,7.7,7,8,8  
Drone-based vaccine delivery to remote areas,7.0,8,7,6  
AR-based language learning tools,7.3,7,8,7  
Community seed exchange programs,7.7,6,9,8  
Manual sugarcane juicers for street vendors,6.7,6,7,7  
Upcycled tire climbing walls for parks,7.0,7,7,7  
Urban rooftop beekeeping initiatives,7.3,7,8,7  
Handmade paper from invasive plants,6.7,6,7,7  
Community solar panel leasing cooperatives,7.3,7,8,7  
Manual coconut oil cold-press kits,6.3,6,7,6  
Solar-powered mobile libraries,7.7,8,8,7  
Bicycle-powered phone charging stations,6.7,7,7,6  
Low-tech compost tea brewers for farms,6.7,6,7,7  
Hand-cranked laundry machines for off-grid use,6.3,6,7,6  
Community garden skill-sharing networks,7.7,6,9,8  
Recycled denim insulation for eco-homes,7.0,7,7,7  
Manual spice grinders for small kitchens,6.7,6,7,7  
Portable solar ovens for disaster relief,7.3,7,8,7  
Vintage camera restoration workshop kits,7.3,7,8,7
Heirloom seed subscription box for gardeners,8.0,6,9,9
DIY modular synthesizer kits for musicians,7.0,8,7,6
Indie board game café with themed nights,7.7,7,8,8
Handmade ceramic glaze recipe marketplace,6.7,6,7,7
Custom LEGO set design service,7.3,7,8,7
Artisanal hot sauce fermentation classes,7.7,7,8,8
Urban foraging map app with seasonal guides,7.0,7,7,7
Retro video game repair toolkits,6.3,7,6,6
Community mural painting events for artists,7.7,6,9,8
DIY guitar pedal circuit-building kits,6.7,8,6,6
Hand-bound bookmaking workshops,7.0,6,8,7
Astrophotography gear rental platform,7.3,7,8,7
Custom puzzle-making service for escape rooms,7.0,7,7,7
Indie comic anthology crowdfunding platform,7.3,6,8,8
Vintage typewriter repair and ink subscription,6.7,7,7,6
Wildflower seed bombs for guerrilla gardeners,7.7,6,9,8
DIY terrarium design kits with rare plants,7.3,7,8,7
Handcrafted wooden surfboard workshops,6.7,8,7,5
Local history walking tour podcast series,7.0,6,8,7
Miniature dollhouse furniture 3D printing service,7.3,8,7,7
Anime/manga fan-art print marketplace,8.0,6,9,9
Custom embroidery pattern generator tool,7.7,8,8,7
Underwater photography dive tours,7.0,7,7,7
Indie vinyl record pressing collective,6.7,7,7,6 
Modular vertical aquaponic home systems,7.3,7,8,7
Hand-forged blacksmithing starter kits,6.7,8,6,6
Portable bioluminescent camping lanterns,7.0,7,7,7
Retro arcade cabinet restoration service,7.3,7,8,7
Ethical wild coffee bean sourcing platform,7.7,6,9,8
AI-free gesture-controlled smart home lights,7.0,8,7,6
DIY mechanical watch assembly workshops,6.7,9,6,5
Hyper-localized weather prediction drones,7.3,8,7,7
Artisanal natural dye workshops (plant-based),7.7,6,9,8
Blockchain-based fair-trade cocoa tracking,7.0,7,7,7
Zero-waste pottery studios with kiln access,7.3,7,8,7
Solar-powered outdoor movie projectors,7.0,7,7,7
Handmade vintage map restoration service,6.7,7,7,6
Modular eco-friendly skateparks,7.3,7,8,7
Crowdsourced urban tree planting app,7.7,6,9,8
Non-electric cold-brew coffee carts,6.7,6,7,7
3D-printed prosthetic limb customization,8.0,9,8,7
Community-run vintage bicycle libraries,7.3,6,8,8
Ocean plastic kayak building kits,6.7,7,7,6
DIY home brewery fermentation kits,7.7,7,8,8
Smart planters with soil pH automation,7.3,8,7,7
Analog photography darkroom co-ops,7.0,7,7,7
Modular geodesic greenhouse kits,7.3,7,8,7
Handmade instrument string crafting kits,6.7,8,6,6
Wind-powered public art installations,7.0,7,7,7
Microbial fuel cells for rural energy,6.3,8,6,5
Artisan sourdough starter exchange network,7.7,5,9,9
AR-enhanced historical site tours (non-AI),7.3,8,7,7
Upcycled sailcloth fashion accessories,7.0,7,7,7
Modular disaster-resistant playgrounds,7.3,7,8,7
DIY astronomical telescope building kits,6.7,9,6,5
Hand-painted mural tourism trails,7.7,6,9,8
Ethical gemstone traceability platform,7.0,7,7,7
Low-tech fog-catching water nets,7.3,7,8,7
Community-powered indie film festivals,7.0,6,8,7
Solar-charged camping gear rentals,7.3,7,8,7
Handmade natural perfume blending workshops,7.7,7,8,8
AI-free robotic garden weeders,7.0,8,7,6
Vintage vinyl record pressing revival,6.7,7,7,6
Portable handloom weaving studios,7.3,7,8,7
Modular floating wetland restoration,7.0,7,7,7
Artisanal tea leaf blending subscriptions,7.7,6,9,9
DIY stained glass window workshops,6.7,8,6,6
Urban falconry pest control programs,7.3,7,8,7
Hand-cranked ice cream makers,6.7,6,7,7
Smart mirrors with skin health tips (non-AI),7.0,7,7,7
Community-curated street art archives,7.3,6,8,8
Low-tech bamboo bicycle frames,7.0,7,7,7
Biodegradable glitter production kits,7.3,7,8,7
